s,C,%,ug/m3,
Time,temp,humid,density_CO,
0 ,20.000000 ,40.185446 ,0.000000 ,
1 ,20.000033 ,40.185363 ,0.000000 ,
2 ,20.000424 ,40.184391 ,0.000000 ,
4 ,20.002126 ,40.180159 ,0.000000 ,
5 ,20.004585 ,40.174044 ,0.000000 ,
6 ,20.007494 ,40.166814 ,0.000000 ,
7 ,20.010811 ,40.158568 ,0.000000 ,
8 ,20.015286 ,40.147451 ,0.000000 ,
10 ,20.654762 ,38.508624 ,0.000000 ,
11 ,22.126888 ,35.027131 ,0.009952 ,
12 ,24.390076 ,30.846737 ,0.576492 ,
13 ,26.492292 ,27.565137 ,1.399664 ,
14 ,27.154968 ,26.889262 ,2.027341 ,
16 ,28.227717 ,25.531801 ,2.615081 ,
17 ,30.109303 ,23.179755 ,3.270466 ,
18 ,32.822110 ,20.239710 ,4.314670 ,
19 ,32.817357 ,20.259672 ,4.261440 ,
20 ,31.553878 ,21.675525 ,4.055650 ,
22 ,32.113269 ,21.057344 ,4.234246 ,
23 ,33.113482 ,20.009924 ,4.573848 ,
24 ,33.114559 ,20.020425 ,4.587775 ,
25 ,32.593064 ,20.528354 ,4.348761 ,
26 ,33.053257 ,20.109837 ,4.618403 ,
28 ,33.037288 ,20.099480 ,4.545707 ,
29 ,33.252251 ,19.909562 ,4.679117 ,
30 ,33.538335 ,19.618226 ,4.772298 ,
31 ,34.140476 ,19.044692 ,4.960177 ,
32 ,33.657106 ,19.419327 ,4.621339 ,
34 ,34.659921 ,18.409107 ,4.819405 ,
35 ,34.212636 ,18.814816 ,4.642329 ,
36 ,34.477159 ,18.506704 ,4.582747 ,
37 ,35.313369 ,17.738969 ,4.821506 ,
38 ,35.091043 ,17.979085 ,4.782643 ,
40 ,35.461784 ,17.505628 ,4.660410 ,
41 ,36.701378 ,16.521884 ,5.138861 ,
42 ,35.706307 ,17.324402 ,4.834094 ,
43 ,35.765736 ,17.295424 ,4.833041 ,
44 ,35.962807 ,17.268346 ,5.217394 ,
46 ,32.918775 ,20.131231 ,4.269640 ,
47 ,35.818448 ,17.452930 ,5.333866 ,
48 ,33.412393 ,19.686873 ,4.580242 ,
49 ,37.189760 ,16.381833 ,5.937733 ,
50 ,36.893807 ,16.684224 ,6.061627 ,
52 ,36.661647 ,17.139543 ,6.605509 ,
53 ,42.947546 ,12.804005 ,8.882412 ,
54 ,50.175674 ,9.346840 ,11.797485 ,
55 ,53.999535 ,7.918185 ,12.775678 ,
56 ,43.416902 ,12.614696 ,8.795167 ,
58 ,49.530581 ,9.655851 ,11.820548 ,
59 ,49.019141 ,9.877751 ,11.475091 ,
60 ,53.239358 ,8.225976 ,12.200903 ,
61 ,56.955054 ,6.922133 ,13.275309 ,
62 ,57.402335 ,7.069692 ,14.741817 ,
64 ,60.097698 ,6.112596 ,14.525014 ,
65 ,57.818093 ,6.708431 ,13.842694 ,
66 ,64.025357 ,5.304271 ,15.372358 ,
67 ,69.238422 ,4.430820 ,18.314173 ,
68 ,70.810982 ,4.183486 ,17.812460 ,
70 ,67.330023 ,4.868589 ,16.283846 ,
71 ,51.548395 ,9.231551 ,12.100789 ,
72 ,56.128671 ,7.314575 ,13.637579 ,
