time,temp,humid,gas,smoke,defuzz
0.000000,20.000000,40.185446,0.000000,0.000000,20.694678
1.224745,20.000032,40.185367,0.000000,0.000000,20.694808
2.432421,20.000398,40.184455,0.000000,0.000000,20.696303
3.657334,20.002002,40.180467,0.000000,0.000000,20.702849
4.800846,20.004353,40.174621,0.000000,0.000000,20.712451
6.010657,20.007142,40.167689,0.000000,0.000000,20.723850
7.231704,20.010400,40.159590,0.000000,0.000000,20.737181
8.431534,20.014792,40.148678,0.000000,0.000000,20.755174
9.629831,20.684149,38.432871,0.000001,0.000003,23.951960
10.822905,22.193931,34.878332,0.018291,0.046957,27.431209
12.025162,25.481173,28.857596,0.584769,1.501265,36.614556
13.239673,27.559759,25.746554,1.170853,3.005905,42.870675
14.418463,27.899484,25.510152,1.584187,4.067051,43.872230
15.640912,29.103159,24.002718,2.016280,5.176353,47.392733
16.819702,31.050475,21.625953,2.463972,6.325702,53.054754
18.042150,33.494523,19.058899,3.111268,7.987492,58.966200
19.220940,34.760728,17.807710,3.337572,8.568478,63.882816
20.443389,32.633748,20.012644,3.069341,7.879855,56.606837
21.622179,33.418939,19.225153,3.305224,8.485432,60.043608
22.800969,33.886729,18.704652,3.303562,8.481165,61.455057
24.023418,34.814176,17.792916,3.428993,8.803180,64.297530
25.202208,32.322838,20.277164,2.865390,7.356254,54.829123
26.424656,33.835500,18.799985,3.389347,8.701397,61.299700
27.603446,34.255000,18.385400,3.465896,8.897922,62.576177
28.825895,33.903300,18.713860,3.329365,8.547409,61.505256
30.004685,34.965847,17.746500,3.650713,9.372399,64.768759
31.208127,34.168291,18.456033,3.375076,8.664760,62.311334
32.424217,35.089129,17.627629,3.479783,8.933572,65.153175
33.601079,33.207771,19.469154,3.132238,8.041328,58.519296
34.817169,34.825403,17.896567,3.689294,9.471447,64.332298
36.033259,36.702519,16.163587,3.891361,9.990207,70.311423
37.210120,33.557516,18.996155,3.162236,8.118341,59.605955
38.426210,36.249161,16.490825,3.655845,9.385574,68.836539
39.603071,34.211559,18.396147,3.298205,8.467412,62.239384
40.819162,35.597196,17.215981,3.833788,9.842401,66.750969
42.035252,36.445354,16.335815,3.655352,9.384308,69.472332
43.212113,36.457010,16.277835,3.653053,9.378405,69.510194
44.428203,34.896307,17.658714,3.292514,8.452802,63.971155
45.605064,36.287257,16.528445,3.712603,9.531288,68.959635
46.821154,35.758740,16.922899,3.589111,9.214250,67.264088
48.037244,35.145109,17.498759,3.455157,8.870350,65.328003
49.214106,37.862264,15.230179,4.060725,10.425013,74.041706
50.430196,35.517017,17.185964,3.513690,9.020622,66.497325
51.606859,36.940278,16.046207,4.054057,10.407893,71.087090
52.806922,35.814008,16.879011,3.613279,9.276294,67.440025
54.006985,38.857212,14.472263,4.286147,11.003735,76.755137
55.207048,35.707262,17.059703,3.759206,9.650929,67.100217
56.407111,37.129034,15.929957,4.081470,10.478272,71.699517
57.607174,35.251859,17.648649,3.968181,10.187427,65.662395
58.814226,37.393981,15.828921,4.600331,11.810331,70.789569
60.001807,38.844631,14.788656,5.124381,13.155714,75.384945
61.220640,40.048676,14.030002,5.580300,14.326187,80.197591
62.408221,43.145252,12.134767,6.491770,16.666182,79.470291
63.616141,46.204103,10.329310,6.714126,17.237032,79.131430
64.822376,45.123525,11.014844,6.824170,17.519547,78.942339
66.013118,48.460924,9.414093,7.828418,20.097730,78.258876
67.203859,45.099877,11.034001,6.808924,17.480405,78.969353
68.405210,44.024800,11.573562,6.629925,17.020866,79.266666
69.622546,47.165776,10.130793,7.941829,20.388888,78.495815
70.822528,48.746343,9.460624,8.483177,21.778680,78.226613
72.022510,51.393890,8.411268,9.049893,23.233598,78.301719
73.214875,48.955657,9.450569,8.335898,21.400574,78.112274
74.407626,54.241488,7.649067,10.188659,26.157128,79.541131
75.600377,54.432287,7.522416,10.381883,26.653189,79.603027
76.809499,53.574531,7.722914,10.148578,26.054229,79.303007
78.018621,51.139492,8.506971,9.130641,23.440900,78.164577
79.202017,52.020546,8.459516,9.064263,23.270490,78.622393
80.418856,51.265296,8.559371,9.049742,23.233210,78.232889
81.617370,55.220653,7.119199,9.895725,25.405084,79.828780
82.806603,54.120045,7.498487,9.316084,23.916983,79.500292
84.008777,54.520220,7.395167,10.359936,26.596844,79.630591
85.221213,54.847656,7.404345,11.417181,29.311088,79.570609
86.416126,56.956240,6.883138,12.695251,32.592247,77.964766
87.602236,60.260967,5.828718,12.431866,31.916067,77.668879
88.820624,56.367965,6.926805,11.420648,29.319987,79.566108
90.012860,56.988723,6.973394,13.142901,33.741491,78.883097
91.202559,53.918397,7.776423,11.091159,28.474097,79.429984
92.419410,57.399016,7.333088,12.359845,31.731167,77.838279
93.613450,54.738166,7.693651,10.906111,27.999027,79.696344
94.821383,48.904641,10.796474,9.713129,24.936310,78.140356
96.007304,49.534898,10.374447,9.618930,24.694474,77.782625
97.217582,48.441305,10.138401,10.178872,26.132002,78.388466
98.418859,57.446614,6.457178,10.822466,27.784288,80.124657
99.626301,57.042072,6.705112,11.367254,29.182909,79.633934
100.825600,53.328139,7.928505,10.698293,27.465501,79.206601
102.019010,44.961879,11.312065,7.365980,18.910524,77.823990
103.204510,49.740650,9.165478,8.983147,23.062243,77.661033
104.417590,50.221211,8.966106,9.178693,23.564264,77.638235
105.603100,53.681707,7.503863,9.402260,24.138224,79.343536
106.806230,49.829253,9.061557,8.940322,22.952300,77.607945
108.023390,56.305774,6.877276,11.320167,29.062024,79.690798
109.211610,55.438525,7.290078,12.037856,30.904532,78.536880
110.402150,57.966302,6.581588,12.116191,31.105639,78.376200
111.603990,51.209433,8.995540,10.260680,26.342027,78.202650
112.814690,56.152531,7.387612,12.012911,30.840490,78.586730
114.001270,49.751290,9.520487,9.775643,25.096800,77.654689
115.201190,52.164564,8.250806,9.382731,24.088085,78.692495
116.420260,68.832168,4.217707,15.409384,39.560185,80.297275
117.622950,64.437216,5.141040,14.116817,36.241804,80.087754
118.802630,58.261620,6.294014,11.056812,28.385919,79.958133
120.000450,60.129297,5.818495,12.011100,30.835842,78.590319
121.216700,55.934825,7.067020,11.078709,28.442135,79.939162
122.416930,52.703841,8.205965,9.902142,25.421560,78.942571
123.601870,43.985634,12.547707,8.274280,21.242383,79.112162
124.820510,54.079171,7.741653,11.364545,29.175955,79.486300
126.013690,55.785820,6.991673,10.912075,28.014338,79.960895
127.204160,54.134151,7.696686,11.208485,28.775306,79.505090
128.415230,51.169613,9.332017,9.241311,23.725022,78.181003
129.614480,50.015718,9.866452,9.313724,23.910926,77.514161
130.822400,63.514890,5.147407,13.685991,35.135754,79.698047
132.002680,54.217860,7.439183,9.698996,24.900027,79.533283
133.211070,56.373680,6.841719,9.785968,25.123308,80.072380
134.405230,54.833163,7.083178,9.409899,24.157834,79.723842
135.606020,55.791842,7.033590,10.442579,26.809011,79.962165
136.806810,60.208685,5.769138,11.643384,29.891814,79.245616
138.007600,44.253088,11.895430,6.813663,17.492573,78.960982
139.212720,46.362845,10.771164,8.062001,20.697403,78.732485
140.423680,53.120631,7.721659,9.471892,24.316987,79.121950
141.601960,54.970316,7.408819,10.960367,28.138318,79.762333
