time,temp,humid,gas,defuzz
0.000000,20.000000,40.185446,0.000000,19.702780
1.000000,20.000033,40.185363,0.000000,19.702867
2.000000,20.000424,40.184391,0.000000,19.703904
4.000000,20.002126,40.180159,0.000000,19.708417
5.000000,20.004585,40.174044,0.000000,19.714939
6.000000,20.007494,40.166814,0.000000,19.722655
7.000000,20.010811,40.158568,0.000000,19.731456
8.000000,20.015286,40.147451,0.000000,19.743333
10.000000,20.654762,38.508624,0.000000,21.520425
11.000000,22.126888,35.027131,0.009952,26.525458
12.000000,24.390076,30.846737,0.576492,36.600772
13.000000,26.492292,27.565137,1.399664,40.544638
14.000000,27.154968,26.889262,2.027341,41.671064
16.000000,28.227717,25.531801,2.615081,44.836070
17.000000,30.109303,23.179755,3.270466,50.317532
18.000000,32.822110,20.239710,4.314670,58.260681
19.000000,32.817357,20.259672,4.261440,58.246560
20.000000,31.553878,21.675525,4.055650,54.524403
22.000000,32.113269,21.057344,4.234246,56.165246
23.000000,33.113482,20.009924,4.573848,59.128804
24.000000,33.114559,20.020425,4.587775,59.132017
25.000000,32.593064,20.528354,4.348761,57.581232
26.000000,33.053257,20.109837,4.618403,58.948947
28.000000,33.037288,20.099480,4.545707,58.901285
29.000000,33.252251,19.909562,4.679117,59.543636
30.000000,33.538335,19.618226,4.772298,60.402601
31.000000,34.140476,19.044692,4.960177,62.226504
32.000000,33.657106,19.419327,4.621339,60.760534
34.000000,34.659921,18.409107,4.819405,63.820408
35.000000,34.212636,18.814816,4.642329,62.446857
36.000000,34.477159,18.506704,4.582747,63.257224
37.000000,35.313369,17.738969,4.821506,65.855631
38.000000,35.091043,17.979085,4.782643,65.159161
40.000000,35.461784,17.505628,4.660410,66.322911
41.000000,36.701378,16.521884,5.138861,70.307688
42.000000,35.706307,17.324402,4.834094,67.097186
43.000000,35.765736,17.295424,4.833041,67.286374
44.000000,35.962807,17.268346,5.217394,67.915520
46.000000,32.918775,20.131231,4.269640,58.548213
47.000000,35.818448,17.452930,5.333866,67.454165
48.000000,33.412393,19.686873,4.580242,60.023917
49.000000,37.189760,16.381833,5.937733,71.895916
50.000000,36.893807,16.684224,6.061627,70.935749
52.000000,36.661647,17.139543,6.605509,70.177704
53.000000,42.947546,12.804005,8.882412,80.169579
54.000000,50.175674,9.346840,11.797485,77.610895
55.000000,53.999535,7.918185,12.775678,79.458652
56.000000,43.416902,12.614696,8.795167,80.105886
58.000000,49.530581,9.655851,11.820548,77.785152
59.000000,49.019141,9.877751,11.475091,78.077052
60.000000,53.239358,8.225976,12.200903,79.170766
61.000000,56.955054,6.922133,13.275309,80.157631
62.000000,57.402335,7.069692,14.741817,80.207289
64.000000,60.097698,6.112596,14.525014,80.297275
65.000000,57.818093,6.708431,13.842694,80.242018
66.000000,64.025357,5.304271,15.372358,80.297275
67.000000,69.238422,4.430820,18.314173,80.297275
68.000000,70.810982,4.183486,17.812460,80.297275
70.000000,67.330023,4.868589,16.283846,80.297275
71.000000,51.548395,9.231551,12.100789,78.383086
72.000000,56.128671,7.314575,13.637579,80.029082
73.000000,59.780495,6.466482,15.221467,80.297194
74.000000,67.523096,4.631273,17.348059,80.297275
76.000000,57.136178,7.434324,14.838403,80.179345
77.000000,66.443971,5.127093,16.667813,80.297275
78.000000,69.036557,4.420993,17.518169,80.297275
79.000000,53.138660,8.542743,13.725771,79.129428
80.000000,56.529532,7.223396,13.818222,80.097641
82.000000,62.403253,5.767353,16.795714,80.297275
83.000000,64.895281,5.188461,16.647684,80.297275
84.000000,64.231096,5.531409,16.067744,80.297275
85.000000,64.229796,5.399205,15.906236,80.297275
86.000000,71.261164,4.083596,18.260908,80.297275
88.000000,62.514671,5.824351,15.455647,80.297275
89.000000,59.627619,6.307463,15.024753,80.296909
90.000000,56.137152,9.607031,13.864690,80.030651
91.000000,54.637902,8.071504,13.694883,79.666560
92.000000,64.224773,5.321931,16.469951,80.297275
94.000000,67.628286,4.757488,17.819290,80.297275
95.000000,67.911084,4.623091,18.142550,80.297275
96.000000,74.365545,3.534507,18.257597,80.297275
97.000000,59.451124,6.341373,14.569932,80.296194
98.000000,63.725810,5.379380,16.261192,80.297275
100.000000,52.379847,8.691354,13.295543,78.794709
101.000000,64.540135,5.307603,16.349117,80.297275
102.000000,66.029020,4.918686,16.719997,80.297275
103.000000,65.236229,5.216575,17.254969,80.297275
104.000000,64.911804,5.254436,17.173392,80.297275
106.000000,65.934257,4.941187,16.955480,80.297275
107.000000,70.322643,4.163192,17.605724,80.297275
108.000000,67.976424,5.356690,17.327413,80.297275
109.000000,64.522403,5.769092,16.344177,80.297275
110.000000,65.309106,5.224957,16.717079,80.297275
112.000000,66.267917,5.527696,17.743356,80.297275
113.000000,72.553558,3.992815,19.185512,80.297275
114.000000,63.260995,5.430829,14.554690,80.297275
115.000000,59.514419,6.755981,15.291165,80.296504
116.000000,68.893194,4.496314,18.158363,80.297275
118.000000,70.745692,4.107646,18.023293,80.297275
119.000000,70.981011,4.157539,17.915235,80.297275
120.000000,78.585825,3.123195,20.120219,80.297259
121.000000,85.771088,2.516723,22.985918,80.164961
122.000000,64.670664,5.146924,15.688169,80.297275
124.000000,78.203526,3.414071,21.168022,80.287901
125.000000,62.473039,5.720333,15.445793,80.297275
126.000000,66.018179,5.080130,17.189734,80.297275
127.000000,64.024079,5.402967,16.227472,80.297275
128.000000,58.042044,6.840429,13.987931,80.256545
130.000000,59.880038,6.308455,15.252921,80.297259
131.000000,64.098489,5.384804,15.400188,80.297275
132.000000,60.768505,6.344096,15.371176,80.297275
133.000000,65.151281,5.405438,17.801269,80.297275
134.000000,69.175887,4.327032,17.333538,80.297275
136.000000,60.595579,6.335262,14.408792,80.297275
137.000000,53.827651,8.099188,11.950919,79.397340
138.000000,63.449152,5.630437,16.100165,80.297275
139.000000,65.701358,5.223428,17.697898,80.297275
140.000000,55.137999,7.483547,11.978001,79.807362
142.000000,68.934100,4.905876,17.841328,80.297275
143.000000,75.726753,3.412115,19.220273,80.297275
144.000000,59.205913,6.588111,14.045931,80.294171
145.000000,62.331240,5.631345,14.837399,80.297275
146.000000,66.752070,5.041689,17.496632,80.297275
148.000000,67.027797,4.757707,17.560198,80.297275
149.000000,71.910555,3.928531,18.745061,80.297275
150.000000,60.509633,6.329393,13.975432,80.297275
151.000000,63.178199,5.637030,15.762741,80.297275
152.000000,65.724234,4.978814,16.951554,80.297275
154.000000,71.791367,4.155662,18.489703,80.297275
155.000000,78.982143,3.165587,20.659254,80.295453
156.000000,79.335402,3.368354,20.173514,80.297229
157.000000,69.088206,4.490603,17.118817,80.297275
158.000000,68.853414,4.508937,17.351186,80.297275
160.000000,66.873214,4.916772,17.009871,80.297275
161.000000,63.246009,5.867605,15.422908,80.297275
162.000000,58.227690,7.921865,15.366299,80.266568
163.000000,64.751484,5.471502,17.376626,80.297275
164.000000,63.062908,5.435472,15.355356,80.297275
166.000000,60.704580,6.145378,14.976624,80.297275
167.000000,71.120515,4.089808,18.667817,80.297275
168.000000,64.746572,5.408716,16.592859,80.297275
169.000000,65.213890,5.114602,16.681992,80.297275
170.000000,58.108657,6.933090,14.629735,80.260371
172.000000,72.011320,3.915200,18.456307,80.297275
173.000000,73.652763,3.721793,18.638911,80.297275
174.000000,66.738134,4.774166,15.893661,80.297275
175.000000,75.392709,3.592633,19.671793,80.297275
176.000000,80.376817,3.153561,21.902835,80.259729
178.000000,66.727991,4.909401,16.814123,80.297275
179.000000,69.037377,4.669026,16.922572,80.297275
180.000000,73.858493,3.907116,19.093301,80.297275
181.000000,66.676843,5.197010,17.525072,80.297275
182.000000,63.058346,5.850679,15.672612,80.297275
184.000000,64.026834,5.277227,15.958036,80.297275
185.000000,60.603769,6.263286,14.095926,80.297275
186.000000,78.937104,3.369413,20.507159,80.296403
187.000000,86.828942,2.378147,23.297267,80.123596
188.000000,78.930847,3.183568,20.248412,80.297156
190.000000,73.137032,3.737092,17.984565,80.297275
191.000000,72.545758,3.981731,17.438982,80.297275
192.000000,51.208596,10.122786,11.711021,78.202194
193.000000,68.365098,4.553646,18.106796,80.297275
194.000000,71.337942,5.514458,18.702039,80.297275
196.000000,69.379684,5.087342,17.161073,80.297275
197.000000,69.294527,5.237225,17.651492,80.297275
198.000000,68.024533,4.707085,16.911235,80.297275
199.000000,80.605221,2.938347,21.152313,80.288259
200.000000,71.266754,3.984644,17.224995,80.297275
202.000000,72.490247,3.984130,18.972182,80.297275
203.000000,71.417956,4.417386,18.769632,80.297275
204.000000,73.047088,4.116557,19.288318,80.297275
205.000000,81.934411,2.941339,22.163599,80.243312
206.000000,69.233533,4.301380,16.589906,80.297275
208.000000,80.957573,2.854189,20.632198,80.295649
209.000000,74.095138,3.655082,18.992069,80.297275
210.000000,65.342760,5.234585,16.591773,80.297275
211.000000,75.504712,3.485390,19.127543,80.297275
212.000000,56.850678,7.677947,11.867026,80.144100
214.000000,64.801486,5.720586,16.334392,80.297275
215.000000,65.220981,5.145563,16.911684,80.297275
216.000000,75.234826,3.558266,18.813906,80.297275
217.000000,83.397890,2.604611,21.451727,80.279872
218.000000,71.583703,3.907032,17.505201,80.297275
220.000000,67.337393,4.724621,17.069271,80.297275
221.000000,70.529717,4.353085,18.467415,80.297275
222.000000,74.188565,3.939083,19.436910,80.297275
223.000000,74.670711,3.545044,19.391965,80.297275
224.000000,75.345039,3.554919,19.112074,80.297275
226.000000,79.019214,3.016391,20.071224,80.297270
227.000000,72.018871,4.051157,18.327830,80.297275
228.000000,64.034736,5.386042,16.695934,80.297275
229.000000,72.447810,3.893450,18.712845,80.297275
230.000000,54.057621,7.928288,11.383991,79.478858
232.000000,67.045335,4.624638,16.416145,80.297275
233.000000,70.910157,4.519971,18.230393,80.297275
234.000000,73.835816,4.593204,19.118270,80.297275
235.000000,75.530547,3.490418,19.059646,80.297275
236.000000,82.530286,2.834748,21.305057,80.284413
238.000000,90.581372,2.143438,23.585418,80.079196
239.000000,79.378328,3.327466,19.419566,80.297275
